

/Gem Systems GSM-19GW 9013065 v7.0 8 XII 2008 M ew5fpl.v7s                         
/ID 1 file 05survey.b   15 II 00
/datum  57000.00
/
/time nT sq 
032842.0  32614.04 99 
032852.0  32614.15 99 
032902.0  32614.09 99 
032912.0  32614.03 99 
032922.0  32614.03 99 
032932.0  32614.02 99 
032942.0  32614.03 99 
032952.0  32614.01 99 
033002.0  32614.10 99 
033012.0  32614.08 99 
033022.0  32614.02 99 
033032.0  32613.96 99 
033042.0  32614.00 99 
033052.0  32613.99 99 
033102.0  32613.97 99 
033112.0  32614.05 99 
033122.0  32614.07 99 
033132.0  32614.04 99 
033142.0  32614.05 99 
033152.0  32613.94 99 
033202.0  32613.91 99 
033212.0  32613.85 99 
033222.0  32613.86 99 
033232.0  32613.80 99 
033242.0  32613.79 99 
033252.0  32613.67 99 
033302.0  32613.70 99 
033312.0  32613.64 99 
033322.0  32613.59 99 
033332.0  32613.66 99 
033342.0  32613.63 99 
033352.0  32613.62 99 
033402.0  32613.63 99 
033412.0  32613.55 99 
033422.0  32613.63 99 
033432.0  32613.63 99 
033442.0  32613.67 99 
033452.0  32613.60 99 
033502.0  32613.73 99 
033512.0  32613.75 99 
033522.0  32613.80 99 
033532.0  32613.90 99 
033542.0  32613.84 99 
033552.0  32613.91 99 
033602.0  32613.95 99 
033612.0  32613.88 99 
033622.0  32613.88 99 
033632.0  32613.86 99 
033642.0  32613.90 99 
033652.0  32613.89 99 
033702.0  32613.97 99 
033712.0  32613.98 99 
033722.0  32613.98 99 
033732.0  32614.04 99 
033742.0  32613.99 99 
033752.0  32613.96 99 
033802.0  32613.93 99 
033812.0  32613.94 99 
033822.0  32613.99 99 
033832.0  32613.96 99 
033842.0  32613.93 99 
033852.0  32613.92 99 
033902.0  32613.97 99 
033912.0  32613.90 99 
033922.0  32613.87 99 
033932.0  32613.86 99 
033942.0  32613.87 99 
033952.0  32613.95 99 
034002.0  32613.83 99 
034012.0  32613.85 99 
034022.0  32613.87 99 
034032.0  32613.74 99 
034042.0  32613.72 99 
034052.0  32613.62 99 
034102.0  32613.66 99 
034112.0  32613.64 99 
034122.0  32613.55 99 
034132.0  32613.65 99 
034142.0  32613.61 99 
034152.0  32613.57 99 
034202.0  32613.60 99 
034212.0  32613.62 99 
