

/Gem Systems GSM-19GW 9013065 v7.0 8 XII 2008 M ew5fpl.v7s                         
/ID 1 file 01survey.wg  15 II 00
/00112 sensor distance cm 
/X Y nT nT/m sq cor-nT time picket-x picket-y 
 0  0  32749.89 -0007.69 29 * 002616.0 * * 
 0  0  32749.55 -0007.93 39 * 002618.0 * * 
 0  0  32750.74 -0006.86 39 * 002620.0 * * 
 0  0  32749.76 -0007.75 39 * 002622.0 * * 
 0  0  32750.91 -0006.68 39 * 002624.0 * * 
 0  0  32749.85 -0007.56 39 * 002626.0 * * 
 0  0  32751.13 -0006.48 39 * 002628.0 * * 
 0  0  32749.59 -0007.88 39 * 002630.0 * * 
/ 002647.0 d2
 0  0  32749.67 -0008.36 39 * 002702.0 * * 
 0  0  32757.00 -0002.79 39 * 002704.0 * * 
 0  0  32781.92  0016.65 39 * 002706.0 * * 
 0  0  32773.13  0009.57 39 * 002708.0 * * 
 0  0  32752.40 -0015.68 39 * 002710.0 * * 
 0  0  32875.68  0056.79 79 * 002712.0 * * 
 0  0  32962.50  0092.21 99 * 002714.0 * * 
 0  0  32690.79 -0124.52 99 * 002716.0 * * 
 0  0  32683.14 -0125.28 79 * 002718.0 * * 
 0  0  32371.83 -0378.26 29 * 002720.0 * * 
 0  0  32351.48 -0396.38 39 * 002722.0 * * 
 0  0  32349.84 -0398.15 39 * 002724.0 * * 
 0  0  32350.88 -0397.16 39 * 002726.0 * * 
 0  0  32349.10 -0398.79 39 * 002728.0 * * 
 0  0  32349.35 -0398.60 39 * 002730.0 * * 
 0  0  32350.03 -0397.76 39 * 002732.0 * * 
 0  0  32349.89 -0398.09 39 * 002734.0 * * 
 0  0  32340.50 -0406.04 39 * 002736.0 * * 
/ 002800.0 c2
 0  0  32350.42 -0398.08 39 * 002810.0 * * 
 0  0  32354.35 -0394.85 39 * 002812.0 * * 
 0  0  32367.03 -0384.19 39 * 002814.0 * * 
 0  0  32369.08 -0382.65 39 * 002816.0 * * 
 0  0  32452.53 -0329.22 39 * 002818.0 * * 
 0  0  32719.76 -0128.80 89 * 002820.0 * * 
 0  0  33181.97  0099.13 99 * 002822.0 * * 
 0  0  33215.34  0094.82 99 * 002824.0 * * 
 0  0  33214.06  0094.27 99 * 002826.0 * * 
 0  0  33228.13  0107.65 99 * 002828.0 * * 
 0  0  33219.86  0100.82 99 * 002830.0 * * 
 0  0  33219.03  0100.11 99 * 002832.0 * * 
 0  0  33218.85  0099.61 99 * 002834.0 * * 
 0  0  33218.88  0099.66 99 * 002836.0 * * 
 0  0  33218.97  0099.67 99 * 002838.0 * * 
 0  0  33218.91  0099.68 99 * 002840.0 * * 
 0  0  33218.94  0099.66 99 * 002842.0 * * 
 0  0  33218.90  0099.70 99 * 002844.0 * * 
 0  0  33218.74  0099.46 99 * 002846.0 * * 
 0  0  33218.93  0099.75 99 * 002848.0 * * 
 0  0  33218.67  0099.41 99 * 002850.0 * * 
 0  0  33218.76  0099.58 99 * 002852.0 * * 
/ 002908.0 b2
 0  0  33217.86  0098.75 99 * 002918.0 * * 
 0  0  33218.84  0099.62 99 * 002920.0 * * 
 0  0  33224.02  0103.19 99 * 002922.0 * * 
 0  0  33229.49  0104.92 89 * 002924.0 * * 
 0  0  33151.60  0058.60 99 * 002926.0 * * 
 0  0  32982.51 -0102.33 99 * 002928.0 * * 
 0  0  33532.32  0179.08 69 * 002930.0 * * 
 0  0  33751.52  0255.33 59 * 002932.0 * * 
 0  0  33905.08  0369.35 39 * 002934.0 * * 
 0  0  33894.32  0360.75 49 * 002936.0 * * 
 0  0  33894.57  0358.73 49 * 002938.0 * * 
 0  0  33894.93  0358.21 49 * 002940.0 * * 
 0  0  33894.08  0358.27 49 * 002942.0 * * 
 0  0  33895.10  0358.74 49 * 002944.0 * * 
 0  0  33894.31  0358.77 49 * 002946.0 * * 
 0  0  33894.92  0358.69 49 * 002948.0 * * 
/ 003005.0 a2
 0  0  33894.02  0358.63 49 * 003016.0 * * 
 0  0  33896.32  0361.50 49 * 003018.0 * * 
 0  0  33897.66  0363.42 49 * 003020.0 * * 
 0  0  33896.42  0362.03 49 * 003022.0 * * 
 0  0  33738.71  0289.32 59 * 003024.0 * * 
 0  0  33919.75  0386.49 49 * 003026.0 * * 
 0  0  33673.71  0206.61 59 * 003028.0 * * 
 0  0  33178.87 -0014.25 59 * 003030.0 * * 
 0  0  33048.78 -0093.53 69 * 003032.0 * * 
 0  0  33092.86 -0076.72 59 * 003034.0 * * 
 0  0  33030.94 -0109.85 69 * 003036.0 * * 
 0  0  32955.59 -0193.85 49 * 003038.0 * * 
 0  0  32950.38 -0199.84 39 * 003040.0 * * 
 0  0  32948.70 -0200.94 39 * 003042.0 * * 
 0  0  32949.16 -0200.65 39 * 003044.0 * * 
 0  0  32950.03 -0199.66 39 * 003046.0 * * 
 0  0  32946.73 -0201.75 39 * 003048.0 * * 
 0  0  32946.69 -0201.57 39 * 003050.0 * * 
 0  0  32947.74 -0200.68 39 * 003052.0 * * 
 0  0  32947.88 -0200.67 39 * 003054.0 * * 
 0  0  32948.16 -0200.47 39 * 003056.0 * * 
 0  0  32947.85 -0200.75 39 * 003058.0 * * 
/ 003116.0 a3
 0  0  32947.93 -0199.82 39 * 003128.0 * * 
 0  0  32950.08 -0199.69 39 * 003130.0 * * 
